Text-values,Numerical-values
Notification 000210298829 is not locked,[[  11 1974    2    4   10]]
06.09.2020 17:13:18  - Invalid User status E0019 for mobile status ACCP,[[115  25   5 106 156 114   7   6   1  14   3   9   1  12]]
Notification 000210299609 is not locked,[[  11 1975    2    4   10]]
Notification 000210299839 is not locked,[[  11 1976    2    4   10]]
29.07.2020 02:51:20  - Invalid User status E0019 for mobile status ACCP,[[ 92   8   5  96 193  69   7   6   1  14   3   9   1  12]]
29.07.2020 02:51:31  - Invalid User status E0019 for mobile status ACCP,[[ 92   8   5  96 193 164   7   6   1  14   3   9   1  12]]
29.07.2020 22:30:21  - Invalid User status E0019 for mobile status ACCP,[[92  8  5 68 16 34  7  6  1 14  3  9  1 12]]
29.07.2020 22:31:17  - Invalid User status E0019 for mobile status ACCP,[[ 92   8   5  68 164 106   7   6   1  14   3   9   1  12]]
29.07.2020 22:38:23  - Invalid User status E0019 for mobile status ACCP,[[ 92   8   5  68 203  19   7   6   1  14   3   9   1  12]]
29.07.2020 22:38:42  - Invalid User status E0019 for mobile status ACCP,[[ 92   8   5  68 203 205   7   6   1  14   3   9   1  12]]
29.07.2020 22:38:50  - Invalid User status E0019 for mobile status ACCP,[[ 92   8   5  68 203 196   7   6   1  14   3   9   1  12]]
29.07.2020 22:39:00  - Invalid User status E0019 for mobile status ACCP,[[ 92   8   5  68 188  43   7   6   1  14   3   9   1  12]]
29.07.2020 22:39:09  - Invalid User status E0019 for mobile status ACCP,[[ 92   8   5  68 188  25   7   6   1  14   3   9   1  12]]
29.07.2020 22:39:27  - Invalid User status E0019 for mobile status ACCP,[[ 92   8   5  68 188 157   7   6   1  14   3   9   1  12]]
29.07.2020 22:39:51  - Invalid User status E0019 for mobile status ACCP,[[ 92   8   5  68 188 193   7   6   1  14   3   9   1  12]]
29.07.2020 22:39:57  - Invalid User status E0019 for mobile status ACCP,[[ 92   8   5  68 188 221   7   6   1  14   3   9   1  12]]
29.07.2020 22:40:03  - Invalid User status E0019 for mobile status ACCP,[[ 92   8   5  68 163  89   7   6   1  14   3   9   1  12]]
29.07.2020 22:40:26  - Invalid User status E0019 for mobile status ACCP,[[ 92   8   5  68 163  87   7   6   1  14   3   9   1  12]]
03.08.2020 15:07:53  - Invalid User status E0019 for mobile status ACCP,[[ 89  15   5  18   8 192   7   6   1  14   3   9   1  12]]
03.08.2020 15:10:42  - Invalid User status E0019 for mobile status ACCP,[[ 89  15   5  18  29 205   7   6   1  14   3   9   1  12]]
03.08.2020 17:21:04  - Invalid User status E0019 for mobile status ACCP,[[ 89  15   5 106  34 161   7   6   1  14   3   9   1  12]]
03.08.2020 17:22:03  - Invalid User status E0019 for mobile status ACCP,[[ 89  15   5 106  68  89   7   6   1  14   3   9   1  12]]
03.08.2020 17:23:32  - Invalid User status E0019 for mobile status ACCP,[[ 89  15   5 106  19 197   7   6   1  14   3   9   1  12]]
03.08.2020 17:27:16  - Invalid User status E0019 for mobile status ACCP,[[ 89  15   5 106 157 102   7   6   1  14   3   9   1  12]]
03.08.2020 17:29:19  - Invalid User status E0019 for mobile status ACCP,[[ 89  15   5 106  92  61   7   6   1  14   3   9   1  12]]
03.08.2020 17:31:00  - Invalid User status E0019 for mobile status ACCP,[[ 89  15   5 106 164  43   7   6   1  14   3   9   1  12]]
21.09.2020 09:39:59  - Invalid User status E0019 for mobile status ACCP,[[ 34  25   5  25 188 195   7   6   1  14   3   9   1  12]]
21.09.2020 09:41:37  - Invalid User status E0019 for mobile status ACCP,[[ 34  25   5  25 189 199   7   6   1  14   3   9   1  12]]
21.09.2020 09:42:53  - Invalid User status E0019 for mobile status ACCP,[[ 34  25   5  25 205 192   7   6   1  14   3   9   1  12]]
21.09.2020 22:22:13  - Invalid User status E0019 for mobile status ACCP,[[ 34  25   5  68  68 156   7   6   1  14   3   9   1  12]]
21.09.2020 22:28:31  - Invalid User status E0019 for mobile status ACCP,[[ 34  25   5  68 158 164   7   6   1  14   3   9   1  12]]
22.09.2020 00:03:27  - Invalid User status E0019 for mobile status ACCP,[[ 68  25   5  43  89 157   7   6   1  14   3   9   1  12]]
Notification 000220415242 is not locked,[[  11 1977    2    4   10]]
22.07.2020 19:40:56  - Invalid User status E0019 for mobile status ACCP,[[ 68   8   5  61 163 423   7   6   1  14   3   9   1  12]]
25.07.2020 03:22:08  - Invalid User status E0019 for mobile status ACCP,[[154   8   5  89  68  15   7   6   1  14   3   9   1  12]]
25.07.2020 03:22:35  - Invalid User status E0019 for mobile status ACCP,[[154   8   5  89  68 159   7   6   1  14   3   9   1  12]]
25.07.2020 03:23:12  - Invalid User status E0019 for mobile status ACCP,[[154   8   5  89  19 120   7   6   1  14   3   9   1  12]]
25.07.2020 03:23:39  - Invalid User status E0019 for mobile status ACCP,[[154   8   5  89  19 188   7   6   1  14   3   9   1  12]]
25.07.2020 03:25:22  - Invalid User status E0019 for mobile status ACCP,[[154   8   5  89 154  68   7   6   1  14   3   9   1  12]]
25.07.2020 03:27:39  - Invalid User status E0019 for mobile status ACCP,[[154   8   5  89 157 188   7   6   1  14   3   9   1  12]]
25.07.2020 03:28:49  - Invalid User status E0019 for mobile status ACCP,[[154   8   5  89 158 206   7   6   1  14   3   9   1  12]]
26.08.2020 21:25:00  - Invalid User status E0019 for mobile status ACCP,[[ 87  15   5  34 154  43   7   6   1  14   3   9   1  12]]
02.08.2020 08:14:49  - Invalid User status E0019 for mobile status ACCP,[[ 96  15   5  15  79 206   7   6   1  14   3   9   1  12]]
02.08.2020 22:41:32  - Invalid User status E0019 for mobile status ACCP,[[ 96  15   5  68 189 197   7   6   1  14   3   9   1  12]]
02.08.2020 22:42:02  - Invalid User status E0019 for mobile status ACCP,[[ 96  15   5  68 205  96   7   6   1  14   3   9   1  12]]
30.07.2020 00:46:01  - Invalid User status E0019 for mobile status ACCP,[[ 16   8   5  43 218 209   7   6   1  14   3   9   1  12]]
30.07.2020 00:46:30  - Invalid User status E0019 for mobile status ACCP,[[ 16   8   5  43 218  16   7   6   1  14   3   9   1  12]]
30.07.2020 05:31:31  - Invalid User status E0019 for mobile status ACCP,[[ 16   8   5 107 164 164   7   6   1  14   3   9   1  12]]
30.07.2020 05:32:00  - Invalid User status E0019 for mobile status ACCP,[[ 16   8   5 107 197  43   7   6   1  14   3   9   1  12]]
02.08.2020 07:52:27  - Invalid User status E0019 for mobile status ACCP,[[ 96  15   5   8 208 157   7   6   1  14   3   9   1  12]]
14.08.2020 15:43:17  - Invalid User status E0019 for mobile status ACCP,[[ 79  15   5  18 210 106   7   6   1  14   3   9   1  12]]
Notification 000210298281 is not locked,[[  11 1978    2    4   10]]
26.08.2020 19:31:49  - Invalid User status E0019 for mobile status ACCP,[[ 87  15   5  61 164 206   7   6   1  14   3   9   1  12]]
27.08.2020 08:40:49  - Invalid User status E0019 for mobile status ACCP,[[157  15   5  15 163 206   7   6   1  14   3   9   1  12]]
27.08.2020 08:41:00  - Invalid User status E0019 for mobile status ACCP,[[157  15   5  15 189  43   7   6   1  14   3   9   1  12]]
27.08.2020 08:45:08  - Invalid User status E0019 for mobile status ACCP,[[157  15   5  15 143  15   7   6   1  14   3   9   1  12]]
27.08.2020 08:45:39  - Invalid User status E0019 for mobile status ACCP,[[157  15   5  15 143 188   7   6   1  14   3   9   1  12]]
30.08.2020 06:58:34  - Invalid User status E0019 for mobile status ACCP,[[ 16  15   5 115 213 212   7   6   1  14   3   9   1  12]]
30.08.2020 06:59:16  - Invalid User status E0019 for mobile status ACCP,[[ 16  15   5 115 195 102   7   6   1  14   3   9   1  12]]
30.08.2020 07:00:02  - Invalid User status E0019 for mobile status ACCP,[[16 15  5  8 43 96  7  6  1 14  3  9  1 12]]
07.09.2020 19:54:41  - Invalid User status E0019 for mobile status ACCP,[[  8  25   5  61 162 189   7   6   1  14   3   9   1  12]]
07.09.2020 19:55:24  - Invalid User status E0019 for mobile status ACCP,[[  8  25   5  61 207  35   7   6   1  14   3   9   1  12]]
Notification 000210299643 is not locked,[[  11 1979    2    4   10]]
07.09.2020 19:54:06  - Invalid User status E0019 for mobile status ACCP,[[  8  25   5  61 162 115   7   6   1  14   3   9   1  12]]
20.09.2020 14:41:06  - Invalid User status E0019 for mobile status ACCP,[[ 69  25   5  79 189 115   7   6   1  14   3   9   1  12]]
Notification 000210300955 is not locked,[[  11 1980    2    4   10]]
21.09.2020 23:14:10  - Invalid User status E0019 for mobile status ACCP,[[34 25  5 19 79 29  7  6  1 14  3  9  1 12]]
Notification 000210301001 is not locked,[[  11 1981    2    4   10]]
27.08.2020 08:40:32  - Invalid User status E0019 for mobile status ACCP,[[157  15   5  15 163 197   7   6   1  14   3   9   1  12]]
27.08.2020 08:44:44  - Invalid User status E0019 for mobile status ACCP,[[157  15   5  15 215 215   7   6   1  14   3   9   1  12]]
27.08.2020 08:45:53  - Invalid User status E0019 for mobile status ACCP,[[157  15   5  15 143 192   7   6   1  14   3   9   1  12]]
27.08.2020 08:46:25  - Invalid User status E0019 for mobile status ACCP,[[157  15   5  15 218 154   7   6   1  14   3   9   1  12]]
Notification 000210298380 is not locked,[[  11 1982    2    4   10]]
30.08.2020 06:58:42  - Invalid User status E0019 for mobile status ACCP,[[ 16  15   5 115 213 205   7   6   1  14   3   9   1  12]]
30.08.2020 06:59:25  - Invalid User status E0019 for mobile status ACCP,[[ 16  15   5 115 195 154   7   6   1  14   3   9   1  12]]
Notification 000210299887 is not locked,[[  11 1983    2    4   10]]
Notification 000220414269 is not locked,[[  11 1984    2    4   10]]
Notification 000220410459 is not locked,[[  11 1985    2    4   10]]
17.07.2020 00:33:04  - Invalid User status E0019 for mobile status ACCP,[[106   8   5  43 217 161   7   6   1  14   3   9   1  12]]
19.07.2020 02:40:34  - Invalid User status E0019 for mobile status ACCP,[[ 61   8   5  96 163 212   7   6   1  14   3   9   1  12]]
19.09.2020 14:38:15  - Invalid User status E0019 for mobile status ACCP,[[ 61  25   5  79 203  18   7   6   1  14   3   9   1  12]]
21.09.2020 22:32:52  - Invalid User status E0019 for mobile status ACCP,[[ 34  25   5  68 197 208   7   6   1  14   3   9   1  12]]
21.09.2020 22:48:53  - Invalid User status E0019 for mobile status ACCP,[[ 34  25   5  68 219 192   7   6   1  14   3   9   1  12]]
21.09.2020 22:51:44  - Invalid User status E0019 for mobile status ACCP,[[ 34  25   5  68 193 215   7   6   1  14   3   9   1  12]]
09.07.2020 14:51:10  - Invalid User status E0019 for mobile status ACCP,[[ 25   8   5  79 193  29   7   6   1  14   3   9   1  12]]
09.07.2020 17:39:01  - Invalid User status E0019 for mobile status ACCP,[[ 25   8   5 106 188 209   7   6   1  14   3   9   1  12]]
09.07.2020 17:40:03  - Invalid User status E0019 for mobile status ACCP,[[ 25   8   5 106 163  89   7   6   1  14   3   9   1  12]]
09.08.2020 17:15:14  - Invalid User status E0019 for mobile status ACCP,[[ 25  15   5 106  18  79   7   6   1  14   3   9   1  12]]
28.09.2020 18:31:43  - Invalid User status E0019 for mobile status ACCP,[[158  25   5 114 164 210   7   6   1  14   3   9   1  12]]
28.09.2020 18:34:05  - Invalid User status E0019 for mobile status ACCP,[[158  25   5 114 212 107   7   6   1  14   3   9   1  12]]
10.08.2020 14:24:37  - Invalid User status E0019 for mobile status ACCP,[[ 29  15   5  79  35 199   7   6   1  14   3   9   1  12]]
10.08.2020 14:46:04  - Invalid User status E0019 for mobile status ACCP,[[ 29  15   5  79 218 161   7   6   1  14   3   9   1  12]]
10.08.2020 18:11:55  - Invalid User status E0019 for mobile status ACCP,[[ 29  15   5 114  73 207   7   6   1  14   3   9   1  12]]
07.09.2020 19:56:43  - Invalid User status E0019 for mobile status ACCP,[[  8  25   5  61 423 210   7   6   1  14   3   9   1  12]]
Notification 000210299646 is not locked,[[  11 1986    2    4   10]]
20.08.2020 16:48:34  - Invalid User status E0019 for mobile status ACCP,[[ 69  15   5 102 219 212   7   6   1  14   3   9   1  12]]
20.08.2020 16:54:25  - Invalid User status E0019 for mobile status ACCP,[[ 69  15   5 102 162 154   7   6   1  14   3   9   1  12]]
20.08.2020 16:56:59  - Invalid User status E0019 for mobile status ACCP,[[ 69  15   5 102 423 195   7   6   1  14   3   9   1  12]]
20.08.2020 16:58:26  - Invalid User status E0019 for mobile status ACCP,[[ 69  15   5 102 213  87   7   6   1  14   3   9   1  12]]
Notification 000210299321 is not locked,[[  11 1987    2    4   10]]
Notification 000210299277 is not locked,[[  11 1988    2    4   10]]
05.07.2020 08:34:47  - Invalid User status E0019 for mobile status ACCP,[[107   8   5  15 212 211   7   6   1  14   3   9   1  12]]
05.07.2020 08:35:11  - Invalid User status E0019 for mobile status ACCP,[[107   8   5  15 159  73   7   6   1  14   3   9   1  12]]
05.07.2020 08:35:16  - Invalid User status E0019 for mobile status ACCP,[[107   8   5  15 159 102   7   6   1  14   3   9   1  12]]
05.07.2020 08:35:52  - Invalid User status E0019 for mobile status ACCP,[[107   8   5  15 159 208   7   6   1  14   3   9   1  12]]
05.07.2020 08:36:22  - Invalid User status E0019 for mobile status ACCP,[[107   8   5  15 200  68   7   6   1  14   3   9   1  12]]
05.07.2020 08:36:47  - Invalid User status E0019 for mobile status ACCP,[[107   8   5  15 200 211   7   6   1  14   3   9   1  12]]
05.07.2020 08:36:56  - Invalid User status E0019 for mobile status ACCP,[[107   8   5  15 200 423   7   6   1  14   3   9   1  12]]
05.07.2020 08:37:03  - Invalid User status E0019 for mobile status ACCP,[[107   8   5  15 199  89   7   6   1  14   3   9   1  12]]
05.07.2020 08:37:10  - Invalid User status E0019 for mobile status ACCP,[[107   8   5  15 199  29   7   6   1  14   3   9   1  12]]
05.07.2020 08:37:21  - Invalid User status E0019 for mobile status ACCP,[[107   8   5  15 199  34   7   6   1  14   3   9   1  12]]
05.07.2020 08:37:51  - Invalid User status E0019 for mobile status ACCP,[[107   8   5  15 199 193   7   6   1  14   3   9   1  12]]
07.07.2020 07:30:54  - Invalid User status E0019 for mobile status ACCP,[[  8   8   5   8  16 162   7   6   1  14   3   9   1  12]]
07.07.2020 07:31:19  - Invalid User status E0019 for mobile status ACCP,[[  8   8   5   8 164  61   7   6   1  14   3   9   1  12]]
07.07.2020 07:31:56  - Invalid User status E0019 for mobile status ACCP,[[  8   8   5   8 164 423   7   6   1  14   3   9   1  12]]
07.07.2020 07:33:15  - Invalid User status E0019 for mobile status ACCP,[[  8   8   5   8 217  18   7   6   1  14   3   9   1  12]]
Notification 000210299330 is not locked,[[  11 1989    2    4   10]]
Notification 000220413862 is not locked,[[  11 1990    2    4   10]]
Notification 000220412796 is not locked,[[  11 1991    2    4   10]]
24.08.2020 06:47:38  - Invalid User status E0019 for mobile status ACCP,[[ 35  15   5 115 211 203   7   6   1  14   3   9   1  12]]
Notification 000210297519 is not locked,[[  11 1992    2    4   10]]
Notification 000210297703 is not locked,[[  11 1993    2    4   10]]
07.08.2020 07:11:37  - Invalid User status E0019 for mobile status ACCP,[[  8  15   5   8  73 199   7   6   1  14   3   9   1  12]]
10.08.2020 17:59:24  - Invalid User status E0019 for mobile status ACCP,[[ 29  15   5 106 195  35   7   6   1  14   3   9   1  12]]
Notification 000210296840 is not locked,[[  11 1994    2    4   10]]
Notification 000220412468 is not locked,[[  11 1995    2    4   10]]
Notification 000220412486 is not locked,[[  11 1996    2    4   10]]
14.08.2020 15:43:30  - Invalid User status E0019 for mobile status ACCP,[[ 79  15   5  18 210  16   7   6   1  14   3   9   1  12]]
06.08.2020 08:50:47  - Invalid User status E0019 for mobile status ACCP,[[115  15   5  15 196 211   7   6   1  14   3   9   1  12]]
29.07.2020 02:05:29  - Invalid User status E0019 for mobile status ACCP,[[ 92   8   5  96 107  92   7   6   1  14   3   9   1  12]]
29.07.2020 02:06:23  - Invalid User status E0019 for mobile status ACCP,[[ 92   8   5  96 115  19   7   6   1  14   3   9   1  12]]
29.07.2020 02:06:33  - Invalid User status E0019 for mobile status ACCP,[[ 92   8   5  96 115 217   7   6   1  14   3   9   1  12]]
29.07.2020 02:06:54  - Invalid User status E0019 for mobile status ACCP,[[ 92   8   5  96 115 162   7   6   1  14   3   9   1  12]]
29.07.2020 02:07:57  - Invalid User status E0019 for mobile status ACCP,[[ 92   8   5  96   8 221   7   6   1  14   3   9   1  12]]
29.07.2020 02:08:11  - Invalid User status E0019 for mobile status ACCP,[[92  8  5 96 15 73  7  6  1 14  3  9  1 12]]
29.07.2020 02:08:45  - Invalid User status E0019 for mobile status ACCP,[[ 92   8   5  96  15 143   7   6   1  14   3   9   1  12]]
29.07.2020 02:09:38  - Invalid User status E0019 for mobile status ACCP,[[ 92   8   5  96  25 203   7   6   1  14   3   9   1  12]]
29.07.2020 22:22:20  - Invalid User status E0019 for mobile status ACCP,[[92  8  5 68 68 69  7  6  1 14  3  9  1 12]]
29.07.2020 22:22:27  - Invalid User status E0019 for mobile status ACCP,[[ 92   8   5  68  68 157   7   6   1  14   3   9   1  12]]
29.07.2020 22:22:36  - Invalid User status E0019 for mobile status ACCP,[[ 92   8   5  68  68 200   7   6   1  14   3   9   1  12]]
29.07.2020 22:22:48  - Invalid User status E0019 for mobile status ACCP,[[ 92   8   5  68  68 219   7   6   1  14   3   9   1  12]]
29.07.2020 22:22:57  - Invalid User status E0019 for mobile status ACCP,[[ 92   8   5  68  68 221   7   6   1  14   3   9   1  12]]
29.07.2020 22:23:07  - Invalid User status E0019 for mobile status ACCP,[[92  8  5 68 19  8  7  6  1 14  3  9  1 12]]
29.07.2020 22:23:17  - Invalid User status E0019 for mobile status ACCP,[[ 92   8   5  68  19 106   7   6   1  14   3   9   1  12]]
29.07.2020 22:23:35  - Invalid User status E0019 for mobile status ACCP,[[ 92   8   5  68  19 159   7   6   1  14   3   9   1  12]]
29.07.2020 22:23:41  - Invalid User status E0019 for mobile status ACCP,[[ 92   8   5  68  19 189   7   6   1  14   3   9   1  12]]
29.07.2020 22:23:48  - Invalid User status E0019 for mobile status ACCP,[[ 92   8   5  68  19 219   7   6   1  14   3   9   1  12]]
29.07.2020 22:23:58  - Invalid User status E0019 for mobile status ACCP,[[ 92   8   5  68  19 213   7   6   1  14   3   9   1  12]]
29.07.2020 22:24:06  - Invalid User status E0019 for mobile status ACCP,[[ 92   8   5  68  35 115   7   6   1  14   3   9   1  12]]
29.07.2020 22:24:22  - Invalid User status E0019 for mobile status ACCP,[[92  8  5 68 35 68  7  6  1 14  3  9  1 12]]
29.07.2020 22:24:51  - Invalid User status E0019 for mobile status ACCP,[[ 92   8   5  68  35 193   7   6   1  14   3   9   1  12]]
29.07.2020 22:26:04  - Invalid User status E0019 for mobile status ACCP,[[ 92   8   5  68  87 161   7   6   1  14   3   9   1  12]]
29.07.2020 22:26:51  - Invalid User status E0019 for mobile status ACCP,[[ 92   8   5  68  87 193   7   6   1  14   3   9   1  12]]
29.07.2020 22:27:54  - Invalid User status E0019 for mobile status ACCP,[[ 92   8   5  68 157 162   7   6   1  14   3   9   1  12]]
29.07.2020 22:28:03  - Invalid User status E0019 for mobile status ACCP,[[ 92   8   5  68 158  89   7   6   1  14   3   9   1  12]]
29.07.2020 22:28:11  - Invalid User status E0019 for mobile status ACCP,[[ 92   8   5  68 158  73   7   6   1  14   3   9   1  12]]
29.07.2020 22:28:17  - Invalid User status E0019 for mobile status ACCP,[[ 92   8   5  68 158 106   7   6   1  14   3   9   1  12]]
29.07.2020 22:28:27  - Invalid User status E0019 for mobile status ACCP,[[ 92   8   5  68 158 157   7   6   1  14   3   9   1  12]]
29.07.2020 22:28:33  - Invalid User status E0019 for mobile status ACCP,[[ 92   8   5  68 158 217   7   6   1  14   3   9   1  12]]
29.07.2020 22:28:38  - Invalid User status E0019 for mobile status ACCP,[[ 92   8   5  68 158 203   7   6   1  14   3   9   1  12]]
29.07.2020 22:28:46  - Invalid User status E0019 for mobile status ACCP,[[ 92   8   5  68 158 218   7   6   1  14   3   9   1  12]]
30.07.2020 04:31:40  - Invalid User status E0019 for mobile status ACCP,[[ 16   8   5 161 164 163   7   6   1  14   3   9   1  12]]
30.07.2020 04:32:18  - Invalid User status E0019 for mobile status ACCP,[[ 16   8   5 161 197 114   7   6   1  14   3   9   1  12]]
30.07.2020 04:32:25  - Invalid User status E0019 for mobile status ACCP,[[ 16   8   5 161 197 154   7   6   1  14   3   9   1  12]]
30.07.2020 04:32:32  - Invalid User status E0019 for mobile status ACCP,[[ 16   8   5 161 197 197   7   6   1  14   3   9   1  12]]
30.07.2020 04:34:39  - Invalid User status E0019 for mobile status ACCP,[[ 16   8   5 161 212 188   7   6   1  14   3   9   1  12]]
30.07.2020 04:34:46  - Invalid User status E0019 for mobile status ACCP,[[ 16   8   5 161 212 218   7   6   1  14   3   9   1  12]]
30.07.2020 04:34:53  - Invalid User status E0019 for mobile status ACCP,[[ 16   8   5 161 212 192   7   6   1  14   3   9   1  12]]
30.07.2020 04:35:03  - Invalid User status E0019 for mobile status ACCP,[[ 16   8   5 161 159  89   7   6   1  14   3   9   1  12]]
Notification 000210295702 is not locked,[[  11 1997    2    4   10]]
20.09.2020 14:38:30  - Invalid User status E0019 for mobile status ACCP,[[ 69  25   5  79 203  16   7   6   1  14   3   9   1  12]]
20.09.2020 14:38:44  - Invalid User status E0019 for mobile status ACCP,[[ 69  25   5  79 203 215   7   6   1  14   3   9   1  12]]
20.09.2020 14:38:58  - Invalid User status E0019 for mobile status ACCP,[[ 69  25   5  79 203 213   7   6   1  14   3   9   1  12]]
20.09.2020 14:39:12  - Invalid User status E0019 for mobile status ACCP,[[ 69  25   5  79 188 120   7   6   1  14   3   9   1  12]]
20.09.2020 14:39:30  - Invalid User status E0019 for mobile status ACCP,[[ 69  25   5  79 188  16   7   6   1  14   3   9   1  12]]
20.09.2020 14:39:36  - Invalid User status E0019 for mobile status ACCP,[[ 69  25   5  79 188 200   7   6   1  14   3   9   1  12]]
20.09.2020 14:40:26  - Invalid User status E0019 for mobile status ACCP,[[ 69  25   5  79 163  87   7   6   1  14   3   9   1  12]]
20.09.2020 14:40:44  - Invalid User status E0019 for mobile status ACCP,[[ 69  25   5  79 163 215   7   6   1  14   3   9   1  12]]
21.09.2020 23:11:28  - Invalid User status E0019 for mobile status ACCP,[[ 34  25   5  19  73 158   7   6   1  14   3   9   1  12]]
21.09.2020 23:12:28  - Invalid User status E0019 for mobile status ACCP,[[ 34  25   5  19 120 158   7   6   1  14   3   9   1  12]]
Notification 000220414967 is not locked,[[  11 1998    2    4   10]]
22.09.2020 04:52:00  - Invalid User status E0019 for mobile status ACCP,[[ 68  25   5 161 208  43   7   6   1  14   3   9   1  12]]
Notification 002000702110 is not locked,[[  11 1999    2    4   10]]
Notification 000210298201 is not locked,[[  11 2000    2    4   10]]
26.08.2020 20:00:43  - Invalid User status E0019 for mobile status ACCP,[[ 87  15   5  69  43 210   7   6   1  14   3   9   1  12]]
26.08.2020 20:01:07  - Invalid User status E0019 for mobile status ACCP,[[ 87  15   5  69 209   8   7   6   1  14   3   9   1  12]]
26.08.2020 20:02:06  - Invalid User status E0019 for mobile status ACCP,[[ 87  15   5  69  96 115   7   6   1  14   3   9   1  12]]
26.08.2020 20:02:19  - Invalid User status E0019 for mobile status ACCP,[[87 15  5 69 96 61  7  6  1 14  3  9  1 12]]
26.08.2020 20:02:28  - Invalid User status E0019 for mobile status ACCP,[[ 87  15   5  69  96 158   7   6   1  14   3   9   1  12]]
26.08.2020 20:02:37  - Invalid User status E0019 for mobile status ACCP,[[ 87  15   5  69  96 199   7   6   1  14   3   9   1  12]]
26.08.2020 20:02:44  - Invalid User status E0019 for mobile status ACCP,[[ 87  15   5  69  96 215   7   6   1  14   3   9   1  12]]
26.08.2020 20:09:24  - Invalid User status E0019 for mobile status ACCP,[[87 15  5 69 25 35  7  6  1 14  3  9  1 12]]
19.07.2020 02:40:01  - Invalid User status E0019 for mobile status ACCP,[[ 61   8   5  96 163 209   7   6   1  14   3   9   1  12]]
Notification 000210300362 is not locked,[[  11 2001    2    4   10]]
Notification 000220414667 is not locked,[[  11 2002    2    4   10]]
19.09.2020 14:37:15  - Invalid User status E0019 for mobile status ACCP,[[ 61  25   5  79 199  18   7   6   1  14   3   9   1  12]]
21.09.2020 22:50:04  - Invalid User status E0019 for mobile status ACCP,[[ 34  25   5  68 196 161   7   6   1  14   3   9   1  12]]
07.07.2020 07:30:47  - Invalid User status E0019 for mobile status ACCP,[[  8   8   5   8  16 211   7   6   1  14   3   9   1  12]]
07.07.2020 07:31:12  - Invalid User status E0019 for mobile status ACCP,[[  8   8   5   8 164 120   7   6   1  14   3   9   1  12]]
07.07.2020 07:31:24  - Invalid User status E0019 for mobile status ACCP,[[  8   8   5   8 164  35   7   6   1  14   3   9   1  12]]
07.07.2020 07:31:36  - Invalid User status E0019 for mobile status ACCP,[[  8   8   5   8 164 200   7   6   1  14   3   9   1  12]]
07.07.2020 07:32:02  - Invalid User status E0019 for mobile status ACCP,[[  8   8   5   8 197  96   7   6   1  14   3   9   1  12]]
07.07.2020 07:33:51  - Invalid User status E0019 for mobile status ACCP,[[  8   8   5   8 217 193   7   6   1  14   3   9   1  12]]
26.07.2020 06:26:11  - Invalid User status E0019 for mobile status ACCP,[[ 87   8   5 115  87  73   7   6   1  14   3   9   1  12]]
26.07.2020 06:26:33  - Invalid User status E0019 for mobile status ACCP,[[ 87   8   5 115  87 217   7   6   1  14   3   9   1  12]]
26.07.2020 06:27:02  - Invalid User status E0019 for mobile status ACCP,[[ 87   8   5 115 157  96   7   6   1  14   3   9   1  12]]
26.07.2020 06:27:34  - Invalid User status E0019 for mobile status ACCP,[[ 87   8   5 115 157 212   7   6   1  14   3   9   1  12]]
26.07.2020 06:28:11  - Invalid User status E0019 for mobile status ACCP,[[ 87   8   5 115 158  73   7   6   1  14   3   9   1  12]]
26.07.2020 06:28:42  - Invalid User status E0019 for mobile status ACCP,[[ 87   8   5 115 158 205   7   6   1  14   3   9   1  12]]
26.07.2020 06:29:26  - Invalid User status E0019 for mobile status ACCP,[[ 87   8   5 115  92  87   7   6   1  14   3   9   1  12]]
30.06.2020 05:00:47  - Invalid User status E0019 for mobile status ACCP,[[ 16 115   5 107  43 211   7   6   1  14   3   9   1  12]]
02.07.2020 06:59:33  - Invalid User status E0019 for mobile status ACCP,[[ 96   8   5 115 195 217   7   6   1  14   3   9   1  12]]
02.07.2020 07:02:12  - Invalid User status E0019 for mobile status ACCP,[[ 96   8   5   8  96 120   7   6   1  14   3   9   1  12]]
02.07.2020 13:59:42  - Invalid User status E0019 for mobile status ACCP,[[ 96   8   5 156 195 205   7   6   1  14   3   9   1  12]]
02.07.2020 14:01:49  - Invalid User status E0019 for mobile status ACCP,[[ 96   8   5  79 209 206   7   6   1  14   3   9   1  12]]
02.07.2020 14:02:03  - Invalid User status E0019 for mobile status ACCP,[[96  8  5 79 96 89  7  6  1 14  3  9  1 12]]
02.07.2020 14:23:16  - Invalid User status E0019 for mobile status ACCP,[[ 96   8   5  79  19 102   7   6   1  14   3   9   1  12]]
02.07.2020 14:23:23  - Invalid User status E0019 for mobile status ACCP,[[96  8  5 79 19 19  7  6  1 14  3  9  1 12]]
02.07.2020 14:23:34  - Invalid User status E0019 for mobile status ACCP,[[ 96   8   5  79  19 212   7   6   1  14   3   9   1  12]]
02.07.2020 14:24:03  - Invalid User status E0019 for mobile status ACCP,[[96  8  5 79 35 89  7  6  1 14  3  9  1 12]]
02.07.2020 14:24:08  - Invalid User status E0019 for mobile status ACCP,[[96  8  5 79 35 15  7  6  1 14  3  9  1 12]]
02.07.2020 14:24:15  - Invalid User status E0019 for mobile status ACCP,[[96  8  5 79 35 18  7  6  1 14  3  9  1 12]]
02.07.2020 14:25:16  - Invalid User status E0019 for mobile status ACCP,[[ 96   8   5  79 154 102   7   6   1  14   3   9   1  12]]
